objectid,c_mun_via,via_loc,nombre_calle,nombre_municipio
59,2200900450,Calle Iglesia   (Camporrotuno),Calle Iglesia,Camporrotuno
99999,5090099999,Bulevar Corredor Verde (Zaragoza),Bulevar Corredor Verde,Zaragoza
224,2200900310,Calle A   (Guaso),Calle A,Guaso
225,2200900311,Calle B   (Guaso),Calle B,Guaso
2,2200100003,Calle Alta   (Abiego),Calle Alta,Abiego
4,2200100005,Calle La Fuente   (Abiego),Calle La Fuente,Abiego
34977,5090002279,Paseo San José María de Balaguer   (Zaragoza),Paseo San José María de Balaguer,Zaragoza
34976,5090000175,Calle Capitán Esponera   (Zaragoza),Calle Capitán Esponera,Zaragoza
32446,5090000175,Calle Elvira de Hidalgo   (Zaragoza),Calle Elvira de Hidalgo,Zaragoza
67,2200920003,Carretera HUV-3611   (Aínsa),Carretera HUV-3611,Aínsa
219,2200900305,Calle de la Iglesia   (La Torrecilla),Calle de la Iglesia,La Torrecilla
1036,2202700215,Calle El Dragon   (San Jorge),Calle El Dragon,San Jorge
7,2200100013,Plaza Mayor   (Abiego),Plaza Mayor,Abiego
10,2200100019,Plaza del Vall   (Abiego),Plaza del Vall,Abiego
11,2200100022,Calle Mara   (Alberuela de La Liena),Calle Mara,Alberuela de La Liena
14,2200100026,Calle Paralela a San Joaquín   (Abiego),Calle Paralela a San Joaquín,Abiego
15,2200100027,Calle Calvario   (Abiego),Calle Calvario,Abiego
16,2200100030,Plaza Iglesia   (Abiego),Plaza Iglesia,Abiego
17,2200100035,Calle Los   (Alberuela de La Liena),Calle Los,Alberuela de La Liena
19,2200100046,Calle San Nicolás   (Abiego),Calle San Nicolás,Abiego
21,2200100049,Calle Femamuro Baja   (Abiego),Calle Femamuro Baja,Abiego
22,2200100050,"Camino ""A""   (Abiego)","Camino ""A""",Abiego
23,2200100051,"Camino ""B"" Abiego   (Abiego)","Camino ""B"" Abiego",Abiego
24,2200100054,Calle Graniello   (Abiego),Calle Graniello,Abiego
26,2200100057,Calle Travesía   (Abiego),Calle Travesía,Abiego
28,2200100059,Calle José Porta Conte   (Abiego),Calle José Porta Conte,Abiego
30,2200100062,Camino Barranque   (Abiego),Camino Barranque,Abiego
31,2200100063,Camino Las Eras   (Abiego),Camino Las Eras,Abiego
32,2200100066,Camino Mara   (Alberuela de La Liena),Camino Mara,Alberuela de La Liena
1,2200100002,Calle del Aire   (Abiego),Calle del Aire,Abiego
3,2200100004,Calle Baja   (Abiego),Calle Baja,Abiego
9,2200100018,Calle Torno   (Abiego),Calle Torno,Abiego
51,2200200029,Calle Única   (Ligüerre de Cinca),Calle Única,Ligüerre de Cinca
58,2200900449,Calle de los Campos   (Paúles de Sarsa),Calle de los Campos,Paúles de Sarsa
291,2200900404,Camino Eras   (Castejón de Sobrarbe),Camino Eras,Castejón de Sobrarbe
62,2200900460,Calle Valle de Chistau   (Ainsa Sobrarbe),Calle Valle de Chistau,Ainsa Sobrarbe
72,2201300114,Plaza Mayor   (Albelda),Plaza Mayor,Albelda
50,2200200027,Calle Mayor   (Lamata),Calle Mayor,Lamata
68,2200920004,Carretera N-260   (Aínsa),Carretera N-260,Aínsa
52,2200220005,Carretera A-138   (Abizanda),Carretera A-138,Abizanda
77,2200500001,Calle Baja   (Adahuesca),Calle Baja,Adahuesca
78,2200500002,Calle Cruz Hospital   (Adahuesca),Calle Cruz Hospital,Adahuesca
79,2200500004,Calle La Iglesia   (Adahuesca),Calle La Iglesia,Adahuesca
80,2200500005,Calle Manga   (Adahuesca),Calle Manga,Adahuesca
83,2200500008,Calle Portal   (Adahuesca),Calle Portal,Adahuesca
84,2200500009,Calle del Saco   (Adahuesca),Calle del Saco,Adahuesca
85,2200500010,Plaza Las Santas   (Adahuesca),Plaza Las Santas,Adahuesca
86,2200500017,Calle Torno   (Adahuesca),Calle Torno,Adahuesca
89,2200500020,Diseminados Afueras   (Adahuesca),Diseminados Afueras,Adahuesca
92,2200500023,Camino Barrio   (Adahuesca),Camino Barrio,Adahuesca
93,2200500025,Plaza del Herrero   (Adahuesca),Plaza del Herrero,Adahuesca
94,2200500027,Calle Callizo Jordana   (Adahuesca),Calle Callizo Jordana,Adahuesca
96,2200500029,Camino Alquézar   (Adahuesca),Camino Alquézar,Adahuesca
98,2200500035,Calle Callizo de Sebastián   (Adahuesca),Calle Callizo de Sebastián,Adahuesca
99,2200500036,Calle Pozalón   (Adahuesca),Calle Pozalón,Adahuesca
100,2200500037,Avenida Santiago Foncillas   (Adahuesca),Avenida Santiago Foncillas,Adahuesca
102,2200520009,Carretera A-1230   (Adahuesca),Carretera A-1230,Adahuesca
107,2200700000,-    (Agüero),-,Agüero
109,2200700002,Calle Canterón   (Agüero),Calle Canterón,Agüero
110,2200700003,Carretera    (Agüero),Carretera,Agüero
111,2200700004,Calle Coso   (Agüero),Calle Coso,Agüero
81,2200500006,Calle Medio   (Adahuesca),Calle Medio,Adahuesca
88,2200500019,Plaza de La Villa   (Adahuesca),Plaza de La Villa,Adahuesca
125,2200700021,Calle San Pedro   (Agüero),Calle San Pedro,Agüero
128,2200700024,Calle Virgen   (Agüero),Calle Virgen,Agüero
105,2200520012,Carretera S/N   (Adahuesca),Carretera S/N,Adahuesca
130,2200720014,Carretera A-1202   (Agüero),Carretera A-1202,Agüero
135,2200900006,Avenida Pirenaica   (Aínsa),Avenida Pirenaica,Aínsa
90,2200500021,Cañada Foncillos   (Adahuesca),Cañada Foncillos,Adahuesca
108,2200700001,Diseminados Afueras   (Agüero),Diseminados Afueras,Agüero
121,2200700014,Calle Nueva   (Agüero),Calle Nueva,Agüero
124,2200700020,Calle San Miguel   (Agüero),Calle San Miguel,Agüero
134,2200900005,Avenida Ordesa   (Aínsa),Avenida Ordesa,Aínsa
140,2200900011,Avenida Sobrarbe   (Aínsa),Avenida Sobrarbe,Aínsa
112,2200700005,Calle Costera   (Agüero),Calle Costera,Agüero
116,2200700009,Calle Iglesia   (Agüero),Calle Iglesia,Agüero
139,2200900010,Plaza Santo Domingo   (Aínsa),Plaza Santo Domingo,Aínsa
143,2200900015,Calle Fueros de Aragón   (Aínsa),Calle Fueros de Aragón,Aínsa
150,2200900028,Plaza Circular   (Aínsa),Plaza Circular,Aínsa
153,2200900031,Plaza Mayor   (Aínsa),Plaza Mayor,Aínsa
157,2200900040,Calle Río Cinca   (Aínsa),Calle Río Cinca,Aínsa
159,2200900045,Calle Fuente   (Ainsa Sobrarbe),Calle Fuente,Ainsa Sobrarbe
160,2200900054,Barrio La Iglesia   (Guaso),Barrio La Iglesia,Guaso
162,2200900056,Barrio Rabal   (Guaso),Barrio Rabal,Guaso
163,2200900057,Barrio Restregui   (Guaso),Barrio Restregui,Guaso
165,2200900065,Plaza Única   (La Torrecilla),Plaza Única,La Torrecilla
170,2200900100,Diseminados Guaso   (Ainsa Sobrarbe),Diseminados Guaso,Ainsa Sobrarbe
171,2200900103,Diseminados Banaston   (Ainsa Sobrarbe),Diseminados Banaston,Ainsa Sobrarbe
173,2200900105,Diseminados Gerbe   (Ainsa Sobrarbe),Diseminados Gerbe,Ainsa Sobrarbe
174,2200900110,Diseminados La Pardina   (La Pardina),Diseminados La Pardina,La Pardina
178,2200900121,Diseminados Mondot   (Ainsa Sobrarbe),Diseminados Mondot,Ainsa Sobrarbe
179,2200900123,Diseminados Sarsa de Surta   (Ainsa Sobrarbe),Diseminados Sarsa de Surta,Ainsa Sobrarbe
183,2200900173,Calle Solano   (Olsón),Calle Solano,Olsón
184,2200900179,Calle Alta   (Ainsa Sobrarbe),Calle Alta,Ainsa Sobrarbe
91,2200500022,Cañada Alberuela   (Adahuesca),Cañada Alberuela,Adahuesca
97,2200500030,Calle Escaleretas   (Adahuesca),Calle Escaleretas,Adahuesca
101,2200520008,Carretera A-1229   (Adahuesca),Carretera A-1229,Adahuesca
104,2200520011,Carretera HU-341   (Adahuesca),Carretera HU-341,Adahuesca
126,2200700022,Calle San Salvador   (Agüero),Calle San Salvador,Agüero
129,2200700025,Calle Santiago   (Agüero),Calle Santiago,Agüero
131,2200900000,-    (Aínsa),-,Aínsa
133,2200900004,Calle Mayor   (Aínsa),Calle Mayor,Aínsa
136,2200900007,Calle Portal de Abajo   (Aínsa),Calle Portal de Abajo,Aínsa
137,2200900008,Plaza Salvador   (Aínsa),Plaza Salvador,Aínsa
138,2200900009,Calle Santa Cruz   (Aínsa),Calle Santa Cruz,Aínsa
141,2200900012,Calle La Costera   (Aínsa),Calle La Costera,Aínsa
142,2200900013,Calle Arco del Hospital   (Aínsa),Calle Arco del Hospital,Aínsa
145,2200900017,Diseminados Afueras   (Ainsa Sobrarbe),Diseminados Afueras,Ainsa Sobrarbe
287,2200900398,Plaza Mayor   (Guaso),Plaza Mayor,Guaso
75,2200220006,Carretera A-2210   (Abizanda),Carretera A-2210,Abizanda
76,2200220007,Carretera S/N   (Abizanda),Carretera S/N,Abizanda
115,2200700008,Calle La Fuente   (Agüero),Calle La Fuente,Agüero
117,2200700010,Plaza Mayor   (Agüero),Plaza Mayor,Agüero
118,2200700011,Calle Medio   (Agüero),Calle Medio,Agüero
120,2200700013,Calle Norte   (Agüero),Calle Norte,Agüero
122,2200700018,Calle San Esteban   (Agüero),Calle San Esteban,Agüero
288,2200900400,Carretera Banaston   (Ainsa Sobrarbe),Carretera Banaston,Ainsa Sobrarbe
146,2200900018,Plaza Alfonso I de Aragón   (Aínsa),Plaza Alfonso I de Aragón,Aínsa
147,2200900020,Calle C   (Ainsa Sobrarbe),Calle C,Ainsa Sobrarbe
113,2200700006,Calle Dueso Bienvenid   (Agüero),Calle Dueso Bienvenid,Agüero
35,2200125782,Carretera A-1227   (Abiego),Carretera A-1227,Abiego
6,2200100009,Calle San Joaquín   (Abiego),Calle San Joaquín,Abiego
12,2200100024,Calle San Nicolás   (Alberuela de La Liena),Calle San Nicolás,Alberuela de La Liena
20,2200100047,Calle Santa Orosia   (Abiego),Calle Santa Orosia,Abiego
27,2200100058,Plaza Santa Marta   (Abiego),Plaza Santa Marta,Abiego
29,2200100060,Calle Uchallo   (Abiego),Calle Uchallo,Abiego
39,2200200005,Calle Mayor   (Abizanda),Calle Mayor,Abizanda
54,2200900445,Calle Baja   (Paúles de Sarsa),Calle Baja,Paúles de Sarsa
55,2200900446,Camino Depósito   (Paúles de Sarsa),Camino Depósito,Paúles de Sarsa
57,2200900448,Calle del Dean   (Paúles de Sarsa),Calle del Dean,Paúles de Sarsa
33,2200125776,Carretera A-1229   (Abiego),Carretera A-1229,Abiego
34,2200125779,Carretera A-1231   (Abiego),Carretera A-1231,Abiego
36,2200126730,Carretera A-1230   (Abiego),Carretera A-1230,Abiego
41,2200200011,Calle La Iglesia   (Escamilla),Calle La Iglesia,Escamilla
43,2200200014,Calle Medio   (Escanilla),Calle Medio,Escanilla
45,2200200022,Calle La Iglesia   (Abizanda),Calle La Iglesia,Abizanda
49,2200200026,Calle Pocino   (Abizanda),Calle Pocino,Abizanda
53,2200900444,Barrio Tozal   (La Torreta),Barrio Tozal,La Torreta
60,2200900451,Calle Arco   (Camporrotuno),Calle Arco,Camporrotuno
61,2200900459,Calle Valle Vio   (Ainsa Sobrarbe),Calle Valle Vio,Ainsa Sobrarbe
64,2200900463,Calle Simeon Pons   (Ainsa Sobrarbe),Calle Simeon Pons,Ainsa Sobrarbe
70,2201300111,Calle Alta Castillo   (Albelda),Calle Alta Castillo,Albelda
71,2201300113,Callejón Hospital C   (Albelda),Callejón Hospital C,Albelda
73,2201300116,Calle Torrente de Arriba   (Albelda),Calle Torrente de Arriba,Albelda
74,2201300117,Callejón Mayor   (Albelda),Callejón Mayor,Albelda
38,2200200003,Calle Castillo   (Abizanda),Calle Castillo,Abizanda
48,2200200025,Diseminados Afueras   (Abizanda),Diseminados Afueras,Abizanda
13,2200100025,Calle Santa Orosia   (Alberuela de La Liena),Calle Santa Orosia,Alberuela de La Liena
201,2200900274,Calle Ramón J. Sender   (Aínsa),Calle Ramón J. Sender,Aínsa
206,2200900282,Calle Ribagorza   (Aínsa),Calle Ribagorza,Aínsa
209,2200900285,Calle Fueva   (Aínsa),Calle Fueva,Aínsa
214,2200900291,Camino Pueyo de Araguás   (Aínsa),Camino Pueyo de Araguás,Aínsa
221,2200900307,"Calle ""B""   (La Torrecilla)","Calle ""B""",La Torrecilla
190,2200900259,Avenida Aragón   (Aínsa),Avenida Aragón,Aínsa
195,2200900267,Camino Usana   (Aínsa),Camino Usana,Aínsa
229,2200900316,"Calle ""B""   (Arro)","Calle ""B""",Arro
1702,2205400057,Calle Traviesa   (Bailo),Calle Traviesa,Bailo
231,2200900319,Calle Circunvalación Muro   (Aínsa),Calle Circunvalación Muro,Aínsa
234,2200900330,Calle E   (Arcusa),Calle E,Arcusa
236,2200900333,Calle D   (Arcusa),Calle D,Arcusa
243,2200900343,Plaza de la Escuela   (Las Bellostas),Plaza de la Escuela,Las Bellostas
248,2200900348,Camino Antiguo   (El Coscollar),Camino Antiguo,El Coscollar
251,2200900351,Calle A   (Olsón),Calle A,Olsón
255,2200900356,Calle B   (Olsón),Calle B,Olsón
260,2200900362,Calle Samper   (Olsón),Calle Samper,Olsón
261,2200900364,Calle A   (Banastón),Calle A,Banastón
263,2200900367,Calle San Martín   (Banastón),Calle San Martín,Banastón
264,2200900368,Calle de la Iglesia   (Banastón),Calle de la Iglesia,Banastón
267,2200900372,Camino Ermita   (Guaso),Camino Ermita,Guaso
268,2200900373,Plaza Iglesia Pequeña   (Coscojuela de Sobrarbe),Plaza Iglesia Pequeña,Coscojuela de Sobrarbe
269,2200900374,Calle San José   (La Torreta),Calle San José,La Torreta
270,2200900375,Camino Puyal   (Guaso),Camino Puyal,Guaso
273,2200900380,Calle A   (Coscojuela de Sobrarbe),Calle A,Coscojuela de Sobrarbe
274,2200900381,Calle Baja   (Castejón de Sobrarbe),Calle Baja,Castejón de Sobrarbe
275,2200900382,Calle Mayor   (Castejón de Sobrarbe),Calle Mayor,Castejón de Sobrarbe
276,2200900383,Calle B   (Castejón de Sobrarbe),Calle B,Castejón de Sobrarbe
279,2200900388,Plaza Sarretira   (Latorre),Plaza Sarretira,Latorre
280,2200900389,Camino Olson   (Latorre),Camino Olson,Latorre
282,2200900392,Calle J   (Guaso),Calle J,Guaso
283,2200900393,Calle Closa   (Guaso),Calle Closa,Guaso
284,2200900395,Calle Alcorze del Tozal   (Guaso),Calle Alcorze del Tozal,Guaso
285,2200900396,Calle del Arco   (Guaso),Calle del Arco,Guaso
286,2200900397,Carretera Aínsa   (Guaso),Carretera Aínsa,Guaso
292,2200900405,Camino de Abajo   (Castejón de Sobrarbe),Camino de Abajo,Castejón de Sobrarbe
293,2200900406,Camino Lascambras   (Santa Tecla),Camino Lascambras,Santa Tecla
295,2200900408,Calle del Arco   (Castejón de Sobrarbe),Calle del Arco,Castejón de Sobrarbe
272,2200900378,Calle A   (Coscojuela de Sobrarbe),Calle A,Coscojuela de Sobrarbe
277,2200900384,Carretera Castejón   (Castejón de Sobrarbe),Carretera Castejón,Castejón de Sobrarbe
310,2200900425,Calle B   (Usana),Calle B,Usana
317,2200900432,Camino E   (Castellazo),Camino E,Castellazo
320,2200900436,Calle E   (Coscojuela de Sobrarbe),Calle E,Coscojuela de Sobrarbe
325,2200900442,Barrio Tozal   (Guaso),Barrio Tozal,Guaso
328,2200920006,Carretera SIN NOMBRE   (Aínsa),Carretera SIN NOMBRE,Aínsa
330,2200920008,Camino SIN NOMBRE   (Aínsa),Camino SIN NOMBRE,Aínsa
335,2201000000,-    (Aísa),-,Aísa
337,2201000002,Calle Baja   (Aísa),Calle Baja,Aísa
341,2201000009,Plaza Ramón y Cajal   (Aísa),Plaza Ramón y Cajal,Aísa
345,2201000018,Calle Mayor   (Sinués),Calle Mayor,Sinués
346,2201000019,Cañada Carretera   (Aísa),Cañada Carretera,Aísa
347,2201000047,"Calle ""A""   (Candanchú)","Calle ""A""",Candanchú
349,2201000049,"Calle ""C""   (Candanchú)","Calle ""C""",Candanchú
350,2201000052,Camino Forestal Puerto   (Aísa),Camino Forestal Puerto,Aísa
352,2201000056,"Calle ""C""   (Aísa)","Calle ""C""",Aísa
353,2201000057,"Calle ""D""   (Aísa)","Calle ""D""",Aísa
354,2201000060,"Camino ""G""   (Aísa)","Camino ""G""",Aísa
355,2201000061,"Calle ""H""   (Aísa)","Calle ""H""",Aísa
357,2201000063,Calle La Iglesia   (Sinués),Calle La Iglesia,Sinués
359,2201000067,Calle Anayet   (Candanchú),Calle Anayet,Candanchú
321,2200900438,Calle Arco   (Coscojuela de Sobrarbe),Calle Arco,Coscojuela de Sobrarbe
326,2200900443,Calle Mayor   (Paúles de Sarsa),Calle Mayor,Paúles de Sarsa
300,2200900413,Calle Estrella   (Lascambras),Calle Estrella,Lascambras
301,2200900415,Calle Santiago   (Castellazo),Calle Santiago,Castellazo
366,2201100005,Camino a Campo Común   (Albalate de Cinca),Camino a Campo Común,Albalate de Cinca
370,2201100011,Calle Las Damas   (Albalate de Cinca),Calle Las Damas,Albalate de Cinca
227,2200900313,Calle San Pedro   (Arcusa),Calle San Pedro,Arcusa
228,2200900315,"Calle ""A""   (Arro)","Calle ""A""",Arro
232,2200900320,Calle Eras de Abajo   (Aínsa),Calle Eras de Abajo,Aínsa
297,2200900410,Calle San Bartolomé   (Lascambras),Calle San Bartolomé,Lascambras
298,2200900411,Camino A   (Lascambras),Camino A,Lascambras
336,2201000001,Calle Alta   (Aísa),Calle Alta,Aísa
339,2201000006,Calle Medio   (Aísa),Calle Medio,Aísa
307,2200900422,Calle A   (Usana),Calle A,Usana
308,2200900423,Calle B   (Usana),Calle B,Usana
309,2200900424,Calle Los Arcos   (Usana),Calle Los Arcos,Usana
340,2201000008,Diseminados Partidas   (Aisa Candanchu),Diseminados Partidas,Aisa Candanchu
343,2201000016,Calle Única   (Candanchú),Calle Única,Candanchú
344,2201000017,Calle Única   (Esposa),Calle Única,Esposa
348,2201000048,"Calle ""B""   (Candanchú)","Calle ""B""",Candanchú
351,2201000054,"Calle ""A""   (Aísa)","Calle ""A""",Aísa
356,2201000062,"Calle ""I""   (Aísa)","Calle ""I""",Aísa
302,2200900417,Calle Santa Águeda   (Usana),Calle Santa Águeda,Usana
303,2200900418,Calle jón   (Usana),Calle jón,Usana
304,2200900419,Calle B   (Castellazo),Calle B,Castellazo
305,2200900420,Calle C   (Castellazo),Calle C,Castellazo
306,2200900421,Plaza Santa Águeda   (Usana),Plaza Santa Águeda,Usana
311,2200900426,Calle C   (Usana),Calle C,Usana
312,2200900427,Calle D   (Usana),Calle D,Usana
313,2200900428,Calle Eras   (Lascambras),Calle Eras,Lascambras
314,2200900429,Carretera Santa Tecla   (Lascambras),Carretera Santa Tecla,Lascambras
315,2200900430,Calle D   (Castellazo),Calle D,Castellazo
316,2200900431,Camino Las Zarzas   (Castellazo),Camino Las Zarzas,Castellazo
290,2200900403,Calle Carretera   (La Pardina),Calle Carretera,La Pardina
262,2200900365,Plaza del Pueblo   (Banastón),Plaza del Pueblo,Banastón
266,2200900371,Calle Mayor   (Coscojuela de Sobrarbe),Calle Mayor,Coscojuela de Sobrarbe
319,2200900434,Calle D   (Coscojuela de Sobrarbe),Calle D,Coscojuela de Sobrarbe
322,2200900439,Camino A   (Paúles de Sarsa),Camino A,Paúles de Sarsa
324,2200900441,Plaza Las Eras   (Camporrotuno),Plaza Las Eras,Camporrotuno
327,2200920005,Carretera S/N   (Aínsa),Carretera S/N,Aínsa
329,2200920007,Camino SIN NOMBRE   (Aínsa),Camino SIN NOMBRE,Aínsa
331,2200920175,Calle TRAMO DE UNION   (Guaso),Calle TRAMO DE UNION,Guaso
332,2200920176,Calle TRAMO DE UNION   (Castellazo),Calle TRAMO DE UNION,Castellazo
299,2200900412,Calle B   (Lascambras),Calle B,Lascambras
334,2200920178,Calle TRAMO DE UNION   (Aínsa),Calle TRAMO DE UNION,Aínsa
154,2200900033,Calle de la Asunción   (Arro),Calle de la Asunción,Arro
158,2200900041,Calle Escaleretas   (Aínsa),Calle Escaleretas,Aínsa
168,2200900069,Barrio Corona   (Arcusa),Barrio Corona,Arcusa
452,2201300026,Calle Escalereta   (Albelda),Calle Escalereta,Albelda
176,2200900114,Diseminados Santa María de Buil   (Ainsa Sobrarbe),Diseminados Santa María de Buil,Ainsa Sobrarbe
148,2200900023,Camino de la Fuente   (Aínsa),Camino de la Fuente,Aínsa
152,2200900030,Travesía Iglesia   (Aínsa),Travesía Iglesia,Aínsa
164,2200900058,Barrio Santa Quiteria   (Guaso),Barrio Santa Quiteria,Guaso
172,2200900104,Diseminados Ribera de Guaso   (Ainsa Sobrarbe),Diseminados Ribera de Guaso,Ainsa Sobrarbe
175,2200900113,Diseminados Sarratillo   (Ainsa Sobrarbe),Diseminados Sarratillo,Ainsa Sobrarbe
181,2200900169,Calle Santiago   (Ainsa Sobrarbe),Calle Santiago,Ainsa Sobrarbe
149,2200900026,Avenida Sudiera   (Aínsa),Avenida Sudiera,Aínsa
182,2200900170,Calle Solano   (Aínsa),Calle Solano,Aínsa
185,2200900192,Calle Asunción   (Ainsa Sobrarbe),Calle Asunción,Ainsa Sobrarbe
186,2200900200,Calle Pineta   (Aínsa),Calle Pineta,Aínsa
188,2200900210,Barrio Iglesia   (Ainsa Sobrarbe),Barrio Iglesia,Ainsa Sobrarbe
189,2200900219,Calle Samper   (Ainsa Sobrarbe),Calle Samper,Ainsa Sobrarbe
191,2200900261,Calle Ribagorza   (Aínsa),Calle Ribagorza,Aínsa
192,2200900262,Plaza del Castillo   (Aínsa),Plaza del Castillo,Aínsa
194,2200900266,Camino del Llano   (Aínsa),Camino del Llano,Aínsa
196,2200900268,Calle Debajo Muros   (Aínsa),Calle Debajo Muros,Aínsa
197,2200900269,Calle Miguel Servet   (Aínsa),Calle Miguel Servet,Aínsa
198,2200900270,Calle Joaquín Costa   (Aínsa),Calle Joaquín Costa,Aínsa
199,2200900272,Calle Ramón y Cajal   (Aínsa),Calle Ramón y Cajal,Aínsa
200,2200900273,Camino Ballo de la Alameda   (Aínsa),Camino Ballo de la Alameda,Aínsa
202,2200900276,Calle Goya   (Aínsa),Calle Goya,Aínsa
204,2200900279,Calle Luis Buñuel   (Aínsa),Calle Luis Buñuel,Aínsa
205,2200900281,Calle Monte Perdido   (Aínsa),Calle Monte Perdido,Aínsa
3001,2208527203,Carretera S/N   (Arasán),Carretera S/N,Arasán
207,2200900283,Calle Somontano   (Aínsa),Calle Somontano,Aínsa
208,2200900284,Calle Mosén Bruno Fierro   (Aínsa),Calle Mosén Bruno Fierro,Aínsa
210,2200900286,Calle Añisclo   (Aínsa),Calle Añisclo,Aínsa
212,2200900288,Calle Río Soto   (Aínsa),Calle Río Soto,Aínsa
213,2200900289,Calle Lucien Briet   (Aínsa),Calle Lucien Briet,Aínsa
215,2200900292,Calle Cabañera   (Ainsa Sobrarbe),Calle Cabañera,Ainsa Sobrarbe
216,2200900296,Plaza de la Fuenteta   (Aínsa),Plaza de la Fuenteta,Aínsa
217,2200900303,"Calle ""D""   (La Torrecilla)","Calle ""D""",La Torrecilla
218,2200900304,"Calle ""E""   (La Torrecilla)","Calle ""E""",La Torrecilla
222,2200900308,Calle Huertos del Molino   (Aínsa),Calle Huertos del Molino,Aínsa
187,2200900204,Calle Tozalete Turmo   (Ainsa Sobrarbe),Calle Tozalete Turmo,Ainsa Sobrarbe
382,2201100029,Calle Portal de la Huerta   (Albalate de Cinca),Calle Portal de la Huerta,Albalate de Cinca
383,2201100031,Calle San Francisco   (Albalate de Cinca),Calle San Francisco,Albalate de Cinca
386,2201100034,Calle San Roque   (Albalate de Cinca),Calle San Roque,Albalate de Cinca
387,2201100036,Calle La Sarten   (Albalate de Cinca),Calle La Sarten,Albalate de Cinca
388,2201100045,Calle La Ermita   (Albalate de Cinca),Calle La Ermita,Albalate de Cinca
389,2201100046,Calle José Antonio   (Albalate de Cinca),Calle José Antonio,Albalate de Cinca
489,2202100037,Calle El Sol   (Alcampell),Calle El Sol,Alcampell
495,2202100043,Calle La Litera   (Alcampell),Calle La Litera,Alcampell
503,2202125433,Carretera A-140   (Alcampell),Carretera A-140,Alcampell
505,2202200001,Calle Los Alfonsos   (Alcolea de Cinca),Calle Los Alfonsos,Alcolea de Cinca
510,2202200006,Calle Callizo   (Alcolea de Cinca),Calle Callizo,Alcolea de Cinca
453,2201300027,Calle Escuelas Pías   (Albelda),Calle Escuelas Pías,Albelda
454,2201300031,Calle Granero   (Albelda),Calle Granero,Albelda
480,2201300102,Plaza Soldevila   (Albelda),Plaza Soldevila,Albelda
358,2201000064,Calle del Valle   (Sinués),Calle del Valle,Sinués
362,2201027672,Carretera N-330A   (Aísa),Carretera N-330A,Aísa
364,2201027747,Carretera A-2605   (Aísa),Carretera A-2605,Aísa
365,2201027761,Carretera S/N   (Aísa),Carretera S/N,Aísa
393,2201100052,Camino Fuente del Lugar   (Albalate de Cinca),Camino Fuente del Lugar,Albalate de Cinca
394,2201100053,Camino Cementerio   (Albalate de Cinca),Camino Cementerio,Albalate de Cinca
397,2201100062,Calle Huesca   (Albalate de Cinca),Calle Huesca,Albalate de Cinca
398,2201100063,Calle Aurora   (Albalate de Cinca),Calle Aurora,Albalate de Cinca
399,2201100064,Calle Pilar   (Albalate de Cinca),Calle Pilar,Albalate de Cinca
445,2201300015,Calle Santa Cruz   (Albelda),Calle Santa Cruz,Albelda
437,2201224099,Carretera HU-V-8301   (Albalatillo),Carretera HU-V-8301,Albalatillo
441,2201300007,Calle San Isidro   (Albelda),Calle San Isidro,Albelda
443,2201300009,Calle San Sebastián   (Albelda),Calle San Sebastián,Albelda
446,2201300018,Calle Baja Castillo   (Albelda),Calle Baja Castillo,Albelda
449,2201300023,Camino Salinas   (Albelda),Camino Salinas,Albelda
450,2201300024,Calle Cuesta   (Albelda),Calle Cuesta,Albelda
457,2201300036,Calle Nueva   (Albelda),Calle Nueva,Albelda
458,2201300038,Calle El Olivo   (Albelda),Calle El Olivo,Albelda
459,2201300042,Partida Amellereta   (Albelda),Partida Amellereta,Albelda
463,2201300062,Partida Cornasa   (Albelda),Partida Cornasa,Albelda
464,2201300063,Partida Corrales   (Albelda),Partida Corrales,Albelda
466,2201300074,Partida Guardiola   (Albelda),Partida Guardiola,Albelda
430,2201200026,Camino A   (Albalatillo),Camino A,Albalatillo
436,2201200032,Camino F   (Albalatillo),Camino F,Albalatillo
439,2201300004,Calle Roqueta   (Albelda),Calle Roqueta,Albelda
409,2201124288,Carretera A-1234   (Albalate de Cinca),Carretera A-1234,Albalate de Cinca
417,2201200009,Plaza Alberto   (Albalatillo),Plaza Alberto,Albalatillo
468,2201300082,Partida Saladar   (Albelda),Partida Saladar,Albelda
469,2201300084,Partida San Roque   (Albelda),Partida San Roque,Albelda
472,2201300094,Calle Oriente   (Albelda),Calle Oriente,Albelda
474,2201300096,Calle Camí de la Creu   (Albelda),Calle Camí de la Creu,Albelda
475,2201300097,Calle Depósitos   (Albelda),Calle Depósitos,Albelda
2051,2206100313,Calle Baños Arabes   (Barbastro),Calle Baños Arabes,Barbastro
481,2201300103,Calle del Saco   (Albelda),Calle del Saco,Albelda
451,2201300025,Calle Ereta   (Albelda),Calle Ereta,Albelda
455,2201300032,Calle Horno   (Albelda),Calle Horno,Albelda
462,2201300058,Partida Coll de Foix   (Albelda),Partida Coll de Foix,Albelda
470,2201300092,Partida Vinajas   (Albelda),Partida Vinajas,Albelda
521,2202200026,Camino Las Eras   (Alcolea de Cinca),Camino Las Eras,Alcolea de Cinca
523,2202200028,Camino Eras Cantera   (Alcolea de Cinca),Camino Eras Cantera,Alcolea de Cinca
403,2201100069,Partida Polígono 13   (Albalate de Cinca),Partida Polígono 13,Albalate de Cinca
